id,character,jis,joyo,kanken,primary_school
771,常,1,1,6,5
772,帽,1,1,4,0
773,幅,1,1,4,0
774,幌,1,0,0,0
775,幕,1,1,5,6
776,幡,1,0,0,0
777,幣,1,1,0,0
778,干,1,1,5,6
779,平,1,1,8,3
780,年,1,1,10,1
781,幸,1,1,8,3
782,幹,1,1,6,5
783,幻,1,1,3,0
784,幼,1,1,5,6
785,幽,1,1,3,0
786,幾,1,1,4,0
787,庁,1,1,5,6
788,広,1,1,9,2
789,庄,1,0,0,0
790,庇,1,0,0,0
791,床,1,1,4,0
792,序,1,1,6,5
793,底,1,1,7,4
794,庖,1,0,0,0
795,店,1,1,9,2
796,庚,1,0,0,0
797,府,1,1,7,4
798,度,1,1,8,3
799,座,1,1,5,6
800,庫,1,1,8,3
801,庭,1,1,8,3
802,庵,1,0,0,0
803,庶,1,1,0,0
804,康,1,1,7,4
805,庸,1,1,0,0
806,廃,1,1,0,0
807,廉,1,1,3,0
808,廊,1,1,3,0
809,廓,1,0,0,0
810,廟,1,0,0,0
811,廠,1,0,0,0
812,延,1,1,5,6
813,廷,1,1,0,0
814,建,1,1,7,4
815,廻,1,0,0,0
816,廼,1,0,0,0
817,廿,1,0,0,0
818,弁,1,1,6,5
819,弄,1,1,2,0
820,弊,1,1,0,0
821,式,1,1,8,3
822,弐,1,1,4,0
823,弓,1,1,9,2
824,弔,1,1,0,0
825,引,1,1,9,2
826,弗,1,0,0,0
827,弘,1,0,0,0
828,弛,1,0,0,0
829,弟,1,1,9,2
830,弥,1,1,2,0
831,弦,1,1,0,0
832,弧,1,1,3,0
833,弱,1,1,9,2
834,張,1,1,6,5
835,強,1,1,9,2
836,弼,1,0,0,0
837,弾,1,1,4,0
838,彊,1,0,0,0
839,当,1,1,9,2
840,形,1,1,9,2
841,彦,1,0,0,0
842,彩,1,1,4,0
843,彪,1,0,0,0
844,彫,1,1,3,0
845,彬,1,0,0,0
846,彰,1,1,0,0
847,影,1,1,4,0
848,役,1,1,8,3
849,彼,1,1,4,0
850,往,1,1,6,5
851,征,1,1,4,0
852,径,1,1,7,4
853,待,1,1,8,3
854,律,1,1,5,6
855,後,1,1,9,2
856,徐,1,1,3,0
857,徒,1,1,7,4
858,従,1,1,5,6
859,得,1,1,7,4
860,御,1,1,4,0
861,復,1,1,6,5
862,循,1,1,0,0
863,微,1,1,4,0
864,徳,1,1,6,5
865,徴,1,1,4,0
866,徹,1,1,0,0
867,徽,1,0,0,0
868,心,1,1,9,2
869,必,1,1,7,4
870,忌,1,1,3,0
871,忍,1,1,0,0
872,志,1,1,6,5
873,忘,1,1,5,6
874,忙,1,1,4,0
875,応,1,1,6,5
876,忠,1,1,5,6
877,快,1,1,6,5
878,念,1,1,7,4
879,忽,1,0,0,0
880,怒,1,1,4,0
881,怖,1,1,4,0
882,怜,1,0,0,0
883,思,1,1,9,2
884,怠,1,1,3,0
885,急,1,1,8,3
886,性,1,1,6,5
887,怨,1,1,2,0
888,怪,1,1,3,0
889,怯,1,0,0,0
890,恋,1,1,4,0
891,恐,1,1,4,0
892,恒,1,1,4,0
893,恕,1,0,0,0
894,恢,1,0,0,0
895,恥,1,1,4,0
896,恨,1,1,3,0
897,恩,1,1,6,5
898,恭,1,1,0,0
899,息,1,1,8,3
900,恰,1,0,0,0
901,恵,1,1,4,0
902,悉,1,0,0,0
903,悌,1,0,0,0
904,悔,1,1,3,0
905,悟,1,1,3,0
906,悠,1,1,0,0
907,患,1,1,0,0
908,悦,1,1,3,0
909,悩,1,1,4,0
910,悪,1,1,8,3
911,悲,1,1,8,3
912,悶,1,0,0,0
913,悼,1,1,0,0
914,情,1,1,6,5
915,惇,1,0,0,0
916,惑,1,1,4,0
917,惚,1,0,0,0
918,惜,1,1,3,0
919,惟,1,0,0,0
920,惣,1,0,0,0
921,惨,1,1,4,0
922,惰,1,1,0,0
923,想,1,1,8,3
924,惹,1,0,0,0
925,愁,1,1,0,0
926,愈,1,0,0,0
927,愉,1,1,0,0
928,意,1,1,8,3
929,愚,1,1,3,0
930,愛,1,1,7,4
931,感,1,1,8,3
932,慈,1,1,3,0
933,態,1,1,6,5
934,慌,1,1,3,0
935,慎,1,1,4,0
936,慕,1,1,3,0
937,慢,1,1,4,0
938,慣,1,1,6,5
939,慧,1,0,0,0
940,慨,1,1,3,0
941,慮,1,1,4,0
942,慰,1,1,3,0
943,慶,1,1,0,0
944,慾,1,0,0,0
945,憂,1,1,3,0
946,憎,1,1,3,0
947,憐,1,0,0,0
948,憤,1,1,0,0
949,憧,1,1,2,0
950,憩,1,1,3,0
951,憲,1,1,5,6
952,憶,1,1,4,0
953,憾,1,1,0,0
954,懇,1,1,0,0
955,懐,1,1,0,0
956,懲,1,1,0,0
957,懸,1,1,0,0
958,戊,1,0,0,0
959,戎,1,0,0,0
960,成,1,1,7,4
961,我,1,1,5,6
962,戒,1,1,4,0
963,或,1,0,0,0
964,戚,1,1,2,0
965,戟,1,0,0,0
966,戦,1,1,7,4
967,戯,1,1,4,0
968,戴,1,1,2,0
969,戸,1,1,9,2
970,戻,1,1,0,0
971,房,1,1,3,0
972,所,1,1,8,3
973,扇,1,1,4,0
974,扉,1,1,0,0
975,手,1,1,10,1
976,才,1,1,9,2
977,打,1,1,8,3
978,払,1,1,4,0
979,托,1,0,0,0
