yojijukugo,reading,link
応急措置,おうきゅうそち,https://www.kanjipedia.jp//kotoba/0000509400
横行闊歩,おうこうかっぽ,https://www.kanjipedia.jp//kotoba/0000531900
往古来今,おうこらいこん,https://www.kanjipedia.jp//kotoba/0000513100
往生素懐,おうじょうそかい,https://www.kanjipedia.jp//kotoba/0000513600
王政復古,おうせいふっこ,https://www.kanjipedia.jp//kotoba/0000505800
王道楽土,おうどうらくど,https://www.kanjipedia.jp//kotoba/0000506100
椀飯振舞,おうばんぶるまい,https://www.kanjipedia.jp//kotoba/0007433000
応病与薬,おうびょうよやく,https://www.kanjipedia.jp//kotoba/0000510900
枉法徇私,おうほうじゅんし,https://www.kanjipedia.jp//kotoba/0000518700
大盤振舞,おおばんぶるまい,https://www.kanjipedia.jp//kotoba/0004480000
大風呂敷,おおぶろしき,https://www.kanjipedia.jp//kotoba/0004480200
岡目八目,おかめはちもく,https://www.kanjipedia.jp//kotoba/0000550300
傍目八目,おかめはちもく,https://www.kanjipedia.jp//kotoba/0006445900
屋梁落月,おくりょうらくげつ,https://www.kanjipedia.jp//kotoba/0000554900
恩威並行,おんいへいこう,https://www.kanjipedia.jp//kotoba/0000600600
温厚篤実,おんこうとくじつ,https://www.kanjipedia.jp//kotoba/0000604100
温故知新,オンコチシン,https://www.kanjipedia.jp//kotoba/0000604200
温柔敦厚,おんじゅうとんこう,https://www.kanjipedia.jp//kotoba/0000604700
怨親平等,おんしんびょうどう,https://www.kanjipedia.jp//kotoba/0000448300
音信不通,おんしんふつう,https://www.kanjipedia.jp//kotoba/0000598200
温凊定省,おんせいていせい,https://www.kanjipedia.jp//kotoba/0000605100
怨憎会苦,オンゾウエク,https://www.kanjipedia.jp//kotoba/0000448400
音吐朗朗,おんとろうろう,https://www.kanjipedia.jp//kotoba/0000599000
乳母日傘,おんばひがさ,https://www.kanjipedia.jp//kotoba/0005451200
厭離穢土,オンリエド,https://www.kanjipedia.jp//kotoba/0000478400
解衣推食,かいいすいしょく,https://www.kanjipedia.jp//kotoba/0000815800
改過自新,かいかじしん,https://www.kanjipedia.jp//kotoba/0000771400
海闊天空,かいかつてんくう,https://www.kanjipedia.jp//kotoba/0000788200
開巻有益,かいかんゆうえき,https://www.kanjipedia.jp//kotoba/0000807200
開眼供養,かいげんくよう,https://www.kanjipedia.jp//kotoba/0000807700
開口一番,かいこういちばん,https://www.kanjipedia.jp//kotoba/0000807900
外交辞令,がいこうじれい,https://www.kanjipedia.jp//kotoba/0000843200
外巧内嫉,がいこうないしつ,https://www.kanjipedia.jp//kotoba/0000843400
回光反照,かいこうへんしょう,https://www.kanjipedia.jp//kotoba/0000761700
回山倒海,かいざんとうかい,https://www.kanjipedia.jp//kotoba/0000761800
海市蜃楼,かいししんろう,https://www.kanjipedia.jp//kotoba/0000788700
鎧袖一触,がいしゅういっしょく,https://www.kanjipedia.jp//kotoba/0000870100
外柔内剛,がいじゅうないごう,https://www.kanjipedia.jp//kotoba/0000844000
下意上達,かいじょうたつ,https://www.kanjipedia.jp//kotoba/0000610700
開心見誠,かいしんけんせい,https://www.kanjipedia.jp//kotoba/0000808700
灰心喪気,かいしんそうき,https://www.kanjipedia.jp//kotoba/0000766100
海誓山盟,かいせいさんめい,https://www.kanjipedia.jp//kotoba/0000789400
階前万里,かいぜんばんり,https://www.kanjipedia.jp//kotoba/0000811800
海内無双,かいだいむそう,https://www.kanjipedia.jp//kotoba/0000790000
街談巷説,がいだんこうせつ,https://www.kanjipedia.jp//kotoba/0000858900
回天事業,かいてんじぎょう,https://www.kanjipedia.jp//kotoba/0000763300
改頭換面,かいとうかんめん,https://www.kanjipedia.jp//kotoba/0000773300
開物成務,かいぶつせいむ,https://www.kanjipedia.jp//kotoba/0000810100
槐門棘路,かいもんきょくろ,https://www.kanjipedia.jp//kotoba/0000821300
怪力乱神,かいりきらんしん,https://www.kanjipedia.jp//kotoba/0000778200
偕老同穴,カイロウドウケツ,https://www.kanjipedia.jp//kotoba/0000798700
